PARADA;PARTIDA;BG_COLOR;TXT_COLOR;LINHA;DESTINO;CARRO
04;06:42;#00B0F0;#FFFFFF;L004/10;UBS LADEIRA ROSA (CIRCULAR);P 2038
08;06:43;#C65911;#FFFFFF;L005/10;TERM. CACHOEIRINHA;P 2041
01;06:48;#FFC000;#000000;L007/10;LAUZANE PAULISTA;P 2045
02;06:52;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);P 2301
07;06:52;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2313
05;06:53;#525252;#FFFFFF;L008/42;JARDIM CENTENÁRIO (CIRC.);P 2307
05;07:02;#203764;#FFFFFF;L002/10;METRÔ SANTANA;P 2033
01;07:04;#FFC000;#000000;L007/10;LAUZANE PAULISTA;A 2084
06;07:04;#C00000;#FFFFFF;L009/10;ISOLINA MAZZEI (VIA HORTO);A 2076
02;07:05;#92D050;#FFFFFF;L007/42;GENEVE;P 2306
03;07:05;#C65911;#FFFFFF;L005/10;TERM. CACHOEIRINHA;P 2042
04;07:06;#00B0F0;#FFFFFF;L004/10;UBS LADEIRA ROSA (CIRCULAR);P 2039
08;07:07;#FF0000;#FFFFFF;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO);P 2303
07;07:12;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2314
02;07:14;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);P 2302
05;07:15;#525252;#FFFFFF;L008/42;JARDIM CENTENÁRIO (CIRC.);P 2308
04;07:17;#7030A0;#FFFFFF;L006/10;UBS LADEIRA ROSA (EXPRESSO);P 2044
01;07:20;#FFC000;#000000;L007/10;LAUZANE PAULISTA;P 2046
03;07:20;#806000;#FFFFFF;L003/10;VILA RICA;P 2035
08;07:23;#FF0000;#FFFFFF;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO);P 2304
06;07:28;#C00000;#FFFFFF;L009/10;ISOLINA MAZZEI (VIA HORTO);A 2077
04;07:30;#00B0F0;#FFFFFF;L004/10;UBS LADEIRA ROSA (CIRCULAR);P 2040
07;07:32;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2311
08;07:33;#92D050;#FFFFFF;L007/42;GENEVE;P 2305
01;07:36;#FFC000;#000000;L007/10;LAUZANE PAULISTA;A 2085
05;07:37;#525252;#FFFFFF;L008/42;JARDIM CENTENÁRIO (CIRC.);P 2309
02;07:40;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);48-02540
03;07:45;#C65911;#FFFFFF;L005/10;TERM. CACHOEIRINHA;P 2041
05;07:50;#203764;#FFFFFF;L002/10;METRÔ SANTANA;P 2030
01;07:52;#FFC000;#000000;L007/10;LAUZANE PAULISTA;A 2083
07;07:52;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2312
06;07:52;#C00000;#FFFFFF;L009/10;ISOLINA MAZZEI (VIA HORTO);A 2078
04;07:54;#00B0F0;#FFFFFF;L004/10;UBS LADEIRA ROSA (CIRCULAR);P 2037
08;07:55;#FF0000;#FFFFFF;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO);P 2047
05;07:59;#525252;#FFFFFF;L008/42;JARDIM CENTENÁRIO (CIRC.);P 2310
03;08:00;#806000;#FFFFFF;L003/10;VILA RICA;P 2036
06;08:01;#92D050;#FFFFFF;L007/42;GENEVE;P 2306
02;08:02;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);48-02541
08;08:03;#C65911;#FFFFFF;L005/10;TERM. CACHOEIRINHA;P 2042
04;08:07;#7030A0;#FFFFFF;L006/10;UBS LADEIRA ROSA (EXPRESSO);P 2043
01;08:08;#FFC000;#000000;L007/10;LAUZANE PAULISTA;P 2045
07;08:12;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2313
06;08:16;#C00000;#FFFFFF;L009/10;ISOLINA MAZZEI (VIA HORTO);A 2079
04;08:18;#00B0F0;#FFFFFF;L004/10;UBS LADEIRA ROSA (CIRCULAR);P 2038
05;08:21;#525252;#FFFFFF;L008/42;JARDIM CENTENÁRIO (CIRC.);P 2307
08;08:24;#000000;#FFFFFF;L29P/10;TERMINAL PINHEIROS;A 1990
02;08:24;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);48-02542
01;08:24;#FFC000;#000000;L007/10;LAUZANE PAULISTA;A 2084
03;08:27;#FF0000;#FFFFFF;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO);P 2303
06;08:29;#92D050;#FFFFFF;L007/42;GENEVE;P 2305
07;08:32;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2314
05;08:37;#203764;#FFFFFF;L002/10;METRÔ SANTANA;P 2031
01;08:40;#FFC000;#000000;L007/10;LAUZANE PAULISTA;P 2046
03;08:40;#806000;#FFFFFF;L003/10;VILA RICA;P 2034
06;08:40;#C00000;#FFFFFF;L009/10;ISOLINA MAZZEI (VIA HORTO);A 2070
04;08:42;#00B0F0;#FFFFFF;L004/10;UBS LADEIRA ROSA (CIRCULAR);P 2039
08;08:43;#FF0000;#FFFFFF;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO);P 2304
07;08:43;#525252;#FFFFFF;L008/42;JARDIM CENTENÁRIO (CIRC.);P 2308
02;08:46;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);48-02543
03;08:49;#C65911;#FFFFFF;L005/10;TERM. CACHOEIRINHA;P 2041
07;08:52;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2311
01;08:56;#FFC000;#000000;L007/10;LAUZANE PAULISTA;A 2085
06;08:57;#92D050;#FFFFFF;L007/42;GENEVE;P 2306
04;08:57;#7030A0;#FFFFFF;L006/10;UBS LADEIRA ROSA (EXPRESSO);P 2044
03;09:01;#C65911;#FFFFFF;L005/10;TERM. CACHOEIRINHA;P 2042
08;09:04;#C00000;#FFFFFF;L009/10;ISOLINA MAZZEI (VIA HORTO);A 2071
05;09:05;#525252;#FFFFFF;L008/42;JARDIM CENTENÁRIO (CIRC.);P 2309
04;09:06;#00B0F0;#FFFFFF;L004/10;UBS LADEIRA ROSA (CIRCULAR);P 2040
02;09:08;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);48-02544
01;09:12;#FFC000;#000000;L007/10;LAUZANE PAULISTA;A 2083
07;09:12;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2312
08;09:15;#FF0000;#FFFFFF;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO);P 2047
03;09:20;#806000;#FFFFFF;L003/10;VILA RICA;P 2035
06;09:25;#92D050;#FFFFFF;L007/42;GENEVE;P 2305
08;09:28;#C00000;#FFFFFF;L009/10;ISOLINA MAZZEI (VIA HORTO);A 2072
05;09:30;#203764;#FFFFFF;L002/10;METRÔ SANTANA;P 2032
02;09:30;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);P 2300
01;09:38;#FFC000;#000000;L007/10;LAUZANE PAULISTA;P 2045
07;09:42;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2313
04;09:47;#7030A0;#FFFFFF;L006/10;UBS LADEIRA ROSA (EXPRESSO);P 2043
03;09:47;#C65911;#FFFFFF;L005/10;TERM. CACHOEIRINHA;P 2041
08;09:50;#00B0F0;#FFFFFF;L004/10;UBS LADEIRA ROSA (CIRCULAR);P 2037
02;09:52;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);P 2301
06;10:02;#C00000;#FFFFFF;L009/10;ISOLINA MAZZEI (VIA HORTO);A 2073
03;10:09;#C65911;#FFFFFF;L005/10;TERM. CACHOEIRINHA;P 2042
06;10:10;#92D050;#FFFFFF;L007/42;GENEVE;P 2306
02;10:14;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);P 2302
01;10:14;#FFC000;#000000;L007/10;LAUZANE PAULISTA;A 2084
08;10:15;#FF0000;#FFFFFF;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO);P 2303
07;10:22;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2314
04;10:30;#00B0F0;#FFFFFF;L004/10;UBS LADEIRA ROSA (CIRCULAR);P 2038
05;10:32;#203764;#FFFFFF;L002/10;METRÔ SANTANA;P 2033
06;10:36;#C00000;#FFFFFF;L009/10;ISOLINA MAZZEI (VIA HORTO);A 2074
02;10:40;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);48-02540
03;10:44;#806000;#FFFFFF;L003/10;VILA RICA;P 2036
01;10:45;#FF0000;#FFFFFF;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO);P 2304
04;10:45;#C65911;#FFFFFF;L005/10;TERM. CACHOEIRINHA;P 2041
08;10:50;#FFC000;#000000;L007/10;LAUZANE PAULISTA;P 2046
03;11:00;#C65911;#FFFFFF;L005/10;TERM. CACHOEIRINHA;P 2042
07;11:02;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2311
04;11:03;#7030A0;#FFFFFF;L006/10;UBS LADEIRA ROSA (EXPRESSO);P 2044
02;11:03;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);48-02541
04;11:10;#00B0F0;#FFFFFF;L004/10;UBS LADEIRA ROSA (CIRCULAR);P 2039
06;11:10;#C00000;#FFFFFF;L009/10;ISOLINA MAZZEI (VIA HORTO);A 2075
08;11:12;#92D050;#FFFFFF;L007/42;GENEVE;P 2305
01;11:26;#FFC000;#000000;L007/10;LAUZANE PAULISTA;A 2085
02;11:26;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);48-02542
07;11:42;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2312
05;11:44;#203764;#FFFFFF;L002/10;METRÔ SANTANA;P 2030
06;11:44;#C00000;#FFFFFF;L009/10;ISOLINA MAZZEI (VIA HORTO);A 2076
03;11:45;#C65911;#FFFFFF;L005/10;TERM. CACHOEIRINHA;P 2041
01;11:45;#FF0000;#FFFFFF;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO);P 2047
08;11:48;#000000;#FFFFFF;L29P/10;TERMINAL PINHEIROS;A 1990
02;11:49;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);48-02543
04;11:50;#00B0F0;#FFFFFF;L004/10;UBS LADEIRA ROSA (CIRCULAR);P 2040
01;12:02;#FFC000;#000000;L007/10;LAUZANE PAULISTA;A 2083
03;12:03;#C65911;#FFFFFF;L005/10;TERM. CACHOEIRINHA;P 2042
08;12:08;#806000;#FFFFFF;L003/10;VILA RICA;P 2034
02;12:12;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);48-02544
06;12:14;#92D050;#FFFFFF;L007/42;GENEVE;P 2306
08;12:18;#C00000;#FFFFFF;L009/10;ISOLINA MAZZEI (VIA HORTO);A 2077
04;12:19;#7030A0;#FFFFFF;L006/10;UBS LADEIRA ROSA (EXPRESSO);P 2043
07;12:22;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2313
04;12:30;#00B0F0;#FFFFFF;L004/10;UBS LADEIRA ROSA (CIRCULAR);P 2037
02;12:35;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);P 2300
01;12:38;#FFC000;#000000;L007/10;LAUZANE PAULISTA;P 2045
03;12:45;#C65911;#FFFFFF;L005/10;TERM. CACHOEIRINHA;P 2041
02;12:45;#FF0000;#FFFFFF;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO);P 2303
06;12:52;#C00000;#FFFFFF;L009/10;ISOLINA MAZZEI (VIA HORTO);A 2078
02;12:58;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);P 2301
07;13:02;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2314
03;13:03;#C65911;#FFFFFF;L005/10;TERM. CACHOEIRINHA;P 2042
05;13:06;#203764;#FFFFFF;L002/10;METRÔ SANTANA;P 2031
04;13:10;#00B0F0;#FFFFFF;L004/10;UBS LADEIRA ROSA (CIRCULAR);P 2038
01;13:14;#FFC000;#000000;L007/10;LAUZANE PAULISTA;A 2084
08;13:15;#FF0000;#FFFFFF;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO);P 2304
06;13:16;#92D050;#FFFFFF;L007/42;GENEVE;P 2305
02;13:21;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);P 2302
06;13:26;#C00000;#FFFFFF;L009/10;ISOLINA MAZZEI (VIA HORTO);A 2079
03;13:32;#806000;#FFFFFF;L003/10;VILA RICA;P 2035
04;13:35;#7030A0;#FFFFFF;L006/10;UBS LADEIRA ROSA (EXPRESSO);P 2044
02;13:40;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);48-02540
07;13:42;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2311
03;13:45;#C65911;#FFFFFF;L005/10;TERM. CACHOEIRINHA;P 2041
01;13:50;#FFC000;#000000;L007/10;LAUZANE PAULISTA;P 2046
04;13:50;#00B0F0;#FFFFFF;L004/10;UBS LADEIRA ROSA (CIRCULAR);P 2039
